Term,Description,AllParent,AllChild,SigInParent,SigInChild,Exp,p,adjP,FDR
GO:0043410,positive regulation of MAPK ca...,738,240,6,3, 1.94,0.369276,1.000,0.915
GO:0010001,glial cell differentiation,1905,103,20,2, 1.07,0.370131,1.000,0.915
GO:1902600,hydrogen ion transmembrane tra...,339,64,6,2, 1.12,0.372880,1.000,0.915
GO:0022411,cellular component disassembly,7080,235,78,4, 2.57,0.374003,1.000,0.915
GO:1901653,cellular response to peptide,442,106,8,3, 1.90,0.374274,1.000,0.915
GO:0060322,head development,2986,376,34,6, 4.26,0.374718,1.000,0.915
GO:0019439,aromatic compound catabolic pr...,3229,140,25,2, 1.08,0.375018,1.000,0.915
GO:0006935,chemotaxis,1936,293,23,5, 3.46,0.377836,1.000,0.915
GO:0015980,energy derivation by oxidation...,6861,103,72,2, 1.07,0.378572,1.000,0.915
GO:0048732,gland development,2964,229,34,4, 2.61,0.379389,1.000,0.915
GO:0072359,circulatory system development,2274,555,24,4, 5.88,0.379397,1.000,0.915
GO:0010468,regulation of gene expression,3450,2030,24,12,14.14,0.379678,1.000,0.915
GO:1902679,negative regulation of RNA bio...,1869,570,15,3, 4.59,0.381528,1.000,0.917
GO:0006066,alcohol metabolic process,922,115,9,2, 1.11,0.383320,1.000,0.918
GO:0042063,gliogenesis,764,124,7,2, 1.13,0.384069,1.000,0.918
GO:0071216,cellular response to biotic st...,3966,101,43,2, 1.09,0.386318,1.000,0.918
GO:0061564,axon development,414,218,4,3, 2.10,0.387748,1.000,0.918
GO:0043069,negative regulation of program...,856,433,11,7, 5.55,0.389006,1.000,0.918
GO:0034599,cellular response to oxidative...,1819,96,21,2, 1.10,0.389517,1.000,0.918
GO:0010821,regulation of mitochondrion or...,776,127,7,2, 1.14,0.390657,1.000,0.918
GO:0070482,response to oxygen levels,448,105,5,2, 1.16,0.391141,1.000,0.918
GO:0010498,proteasomal protein catabolic ...,396,164,3,2, 1.24,0.393835,1.000,0.921
GO:0044765,single-organism transport,2496,1286,25,15,12.86,0.396255,1.000,0.922
GO:0009968,negative regulation of signal ...,3238,584,39,5, 7.06,0.397286,1.000,0.922
GO:0006629,lipid metabolic process,6187,614,48,3, 4.78,0.397717,1.000,0.922
GO:1903530,regulation of secretion by cell,5823,282,55,4, 2.65,0.402706,1.000,0.931
GO:0006091,generation of precursor metabo...,5493,150,41,2, 1.11,0.404320,1.000,0.932
GO:0030855,epithelial cell differentiation,2043,317,22,2, 3.43,0.409791,1.000,0.940
GO:0009967,positive regulation of signal ...,3281,736,41,7, 9.23,0.410033,1.000,0.940
GO:0065003,macromolecular complex assembly,1561,717,18,10, 8.25,0.412773,1.000,0.941
GO:0050767,regulation of neurogenesis,860,338,8,2, 3.15,0.413869,1.000,0.941
GO:0060326,cell chemotaxis,1642,150,21,3, 1.90,0.414676,1.000,0.941
GO:0001667,ameboidal-type cell migration,695,200,7,3, 2.00,0.415588,1.000,0.941
GO:2000113,negative regulation of cellula...,2534,653,22,4, 5.68,0.417626,1.000,0.941
GO:0006164,purine nucleotide biosynthetic...,285,122,3,2, 1.28,0.419613,1.000,0.941
GO:0048762,mesenchymal cell differentiation,1910,110,20,2, 1.14,0.420172,1.000,0.941
GO:0001525,angiogenesis,2967,238,34,4, 2.71,0.422519,1.000,0.941
GO:0044249,cellular biosynthetic process,5534,3010,43,26,23.37,0.423224,1.000,0.941
GO:0032940,secretion by cell,6640,404,72,6, 4.36,0.424405,1.000,0.941
GO:1901566,organonitrogen compound biosyn...,3334,785,29,5, 6.84,0.424564,1.000,0.941
GO:0006355,"regulation of transcription, D...",2183,1649,15,10,11.34,0.426132,1.000,0.941
GO:0015992,proton transport,256,80,4,2, 1.24,0.426614,1.000,0.941
GO:0035556,intracellular signal transduction,3145,1358,38,14,16.44,0.428803,1.000,0.941
GO:0006508,proteolysis,3104,908,23,5, 6.74,0.429634,1.000,0.941
GO:0030182,neuron differentiation,1905,635,20,5, 6.68,0.429902,1.000,0.941
GO:0035239,tube morphogenesis,2976,241,34,4, 2.74,0.433902,1.000,0.946
GO:0006810,transport,2511,2398,26,24,24.84,0.436298,1.000,0.946
GO:0008104,protein localization,1354,1187,16,13,14.04,0.437074,1.000,0.946
GO:0009059,macromolecule biosynthetic pro...,5377,2561,41,22,19.51,0.438841,1.000,0.946
GO:0043066,negative regulation of apoptot...,822,427,11,7, 5.70,0.438924,1.000,0.946
GO:0031323,regulation of cellular metabol...,7857,2858,66,21,24.03,0.440419,1.000,0.946
GO:0051253,negative regulation of RNA met...,2531,590,19,3, 4.44,0.440817,1.000,0.946
GO:0044265,cellular macromolecule catabol...,4693,420,31,4, 2.77,0.442316,1.000,0.946
GO:0010605,negative regulation of macromo...,5038,1101,37,10, 8.07,0.446211,1.000,0.946
GO:0006470,protein dephosphorylation,2124,169,15,2, 1.19,0.446338,1.000,0.946
GO:0044093,positive regulation of molecul...,1311,771,13,9, 7.63,0.446849,1.000,0.946
GO:0043043,peptide biosynthetic process,827,472,5,2, 2.86,0.448091,1.000,0.946
GO:0006464,cellular protein modification ...,2704,2045,18,15,13.60,0.449207,1.000,0.946
GO:0010876,lipid localization,1354,169,16,3, 1.99,0.449767,1.000,0.946
GO:0080134,regulation of response to stress,2581,640,27,5, 6.71,0.450220,1.000,0.946
GO:0042325,regulation of phosphorylation,1372,717,11,7, 5.74,0.452183,1.000,0.948
GO:1901361,organic cyclic compound catabo...,3363,149,27,2, 1.19,0.456072,1.000,0.953
GO:0009260,ribonucleotide biosynthetic pr...,278,125,3,2, 1.34,0.462214,1.000,0.956
GO:0030335,positive regulation of cell mi...,702,211,7,3, 2.09,0.463619,1.000,0.956
GO:0009057,macromolecule catabolic process,5206,516,37,5, 3.66,0.464146,1.000,0.956
GO:2000021,regulation of ion homeostasis,423,89,6,2, 1.25,0.464170,1.000,0.956
GO:0072521,purine-containing compound met...,3497,259,27,3, 1.99,0.464285,1.000,0.956
GO:0019693,ribose phosphate metabolic pro...,1969,249,16,3, 2.02,0.464814,1.000,0.956
GO:0048699,generation of neurons,764,710,7,6, 6.51,0.465721,1.000,0.956
GO:0007169,transmembrane receptor protein...,457,284,11,8, 6.81,0.468150,1.000,0.958
GO:0022008,neurogenesis,2107,764,24,7, 8.72,0.469153,1.000,0.958
GO:0070661,leukocyte proliferation,932,146,8,2, 1.25,0.471993,1.000,0.960
GO:0044267,cellular protein metabolic pro...,4836,2704,36,18,20.14,0.474179,1.000,0.960
GO:0031669,cellular response to nutrient ...,133,76,4,3, 2.26,0.475571,1.000,0.960
GO:0032535,regulation of cellular compone...,7084,182,78,3, 1.99,0.476765,1.000,0.960
GO:0098771,inorganic ion homeostasis,295,270,6,5, 5.50,0.477769,1.000,0.960
GO:0010927,cellular component assembly in...,7141,184,78,3, 2.00,0.479953,1.000,0.960
GO:0050877,neurological system process,1081,759,10,6, 7.03,0.481734,1.000,0.960
GO:0071310,cellular response to organic s...,1383,956,21,16,14.49,0.482360,1.000,0.960
GO:0051172,negative regulation of nitroge...,3798,718,29,4, 5.49,0.482949,1.000,0.960
GO:0198738,cell-cell signaling by wnt,552,207,11,3, 4.15,0.483092,1.000,0.960
GO:0045892,negative regulation of transcr...,1860,559,14,3, 4.22,0.483606,1.000,0.960
GO:0033674,positive regulation of kinase ...,613,222,6,3, 2.16,0.485959,1.000,0.962
GO:0007275,multicellular organism develop...,3439,2464,39,26,27.97,0.488498,1.000,0.965
GO:0009725,response to hormone,1167,289,19,6, 4.68,0.489838,1.000,0.965
GO:1902533,positive regulation of intrace...,1550,484,17,4, 5.32,0.493820,1.000,0.970
GO:0044092,negative regulation of molecul...,1311,486,13,6, 4.81,0.498098,1.000,0.976
GO:0006979,response to oxidative stress,1636,160,13,2, 1.27,0.499411,1.000,0.976
GO:0097190,apoptotic signaling pathway,3372,346,42,3, 4.33,0.505599,1.000,0.986
GO:0071375,cellular response to peptide h...,273,101,6,3, 2.20,0.509590,1.000,0.991
GO:0031589,cell-substrate adhesion,740,201,8,3, 2.16,0.512587,1.000,0.992
GO:0070201,regulation of establishment of...,957,428,11,6, 4.91,0.512595,1.000,0.992
GO:0097485,neuron projection guidance,1117,112,13,2, 1.30,0.521877,1.000,0.997
GO:0042981,regulation of apoptotic process,822,688,11,10, 9.20,0.522205,1.000,0.997
GO:0044712,single-organism catabolic process,2548,352,22,2, 3.05,0.522780,1.000,0.997
GO:0051726,regulation of cell cycle,5898,474,53,3, 4.27,0.525144,1.000,0.997
GO:0050790,regulation of catalytic activity,1311,1012,13,11,10.03,0.525600,1.000,0.997
GO:0010256,endomembrane system organization,3078,294,32,2, 3.07,0.526662,1.000,0.997
GO:0033993,response to lipid,1163,320,19,4, 5.25,0.526935,1.000,0.997
GO:0051276,chromosome organization,1652,297,12,3, 2.15,0.527965,1.000,0.997
GO:1901137,carbohydrate derivative biosyn...,3213,354,27,4, 2.97,0.528861,1.000,0.997
GO:0006412,translation,4387,460,29,2, 3.05,0.529788,1.000,0.997
GO:1901700,response to oxygen-containing ...,1936,559,23,8, 6.62,0.530588,1.000,0.997
GO:0060255,regulation of macromolecule me...,5147,2833,38,19,20.93,0.531293,1.000,0.997
GO:0032386,regulation of intracellular tr...,1339,265,15,2, 2.98,0.531696,1.000,0.997
GO:0043269,regulation of ion transport,1356,257,16,4, 3.02,0.536831,1.000,1.000
GO:0009152,purine ribonucleotide biosynth...,245,119,3,2, 1.45,0.537522,1.000,1.000
GO:0007015,actin filament organization,3078,205,32,3, 2.12,0.538174,1.000,1.000
GO:0016070,RNA metabolic process,4491,2129,31,13,14.71,0.541280,1.000,1.000
GO:2001233,regulation of apoptotic signal...,1715,232,22,2, 2.99,0.543589,1.000,1.000
GO:0050878,regulation of body fluid levels,1747,166,14,2, 1.32,0.543596,1.000,1.000
GO:0060485,mesenchyme development,1865,138,18,2, 1.33,0.548883,1.000,1.000
GO:0048588,developmental cell growth,1310,92,19,2, 1.32,0.550502,1.000,1.000
GO:0043408,regulation of MAPK cascade,1107,340,13,3, 4.00,0.550750,1.000,1.000
GO:0071822,protein complex subunit organi...,1051,674,11,8, 7.04,0.552681,1.000,1.000
GO:0060429,epithelium development,991,626,11,6, 6.96,0.553103,1.000,1.000
GO:0051960,regulation of nervous system d...,1486,398,15,3, 4.03,0.553379,1.000,1.000
GO:0032101,regulation of response to exte...,2215,411,28,4, 5.21,0.560237,1.000,1.000
GO:1901576,organic substance biosynthetic...,5966,3040,49,27,24.95,0.560319,1.000,1.000
GO:1905114,cell surface receptor signalin...,1449,249,23,5, 3.94,0.560813,1.000,1.000
GO:0050808,synapse organization,7080,121,78,2, 1.33,0.560822,1.000,1.000
GO:0032270,positive regulation of cellula...,3343,677,24,6, 4.85,0.562460,1.000,1.000
GO:0002009,morphogenesis of an epithelium,677,313,7,4, 3.23,0.563699,1.000,1.000
GO:0072511,divalent inorganic cation tran...,525,206,7,2, 2.76,0.564353,1.000,1.000
GO:0051223,regulation of protein transport,1261,392,13,5, 4.03,0.565312,1.000,1.000
GO:0034645,cellular macromolecule biosynt...,4915,2496,36,20,18.27,0.565982,1.000,1.000
GO:0071702,organic substance transport,2398,1139,24,10,11.41,0.566210,1.000,1.000
GO:0034765,regulation of ion transmembran...,546,193,9,4, 3.17,0.567184,1.000,1.000
GO:1901652,response to peptide,578,130,10,3, 2.24,0.568623,1.000,1.000
GO:0042127,regulation of cell proliferation,5823,730,53,8, 6.63,0.572866,1.000,1.000
GO:0030073,insulin secretion,248,71,5,2, 1.42,0.573926,1.000,1.000
GO:0009790,embryo development,2464,640,26,8, 6.74,0.575970,1.000,1.000
GO:1903507,negative regulation of nucleic...,1731,564,12,3, 3.92,0.576050,1.000,1.000
GO:0021537,telencephalon development,2815,128,30,2, 1.36,0.577958,1.000,1.000
GO:0015031,protein transport,1525,773,16,7, 8.12,0.578012,1.000,1.000
GO:0033554,cellular response to stress,4167,901,44,8, 9.53,0.578055,1.000,1.000
GO:0045859,regulation of protein kinase a...,690,322,7,4, 3.26,0.579326,1.000,1.000
GO:2000147,positive regulation of cell mo...,760,218,8,3, 2.29,0.581922,1.000,1.000
GO:0009887,animal organ morphogenesis,2976,589,34,8, 6.71,0.582970,1.000,1.000
GO:0003002,regionalization,274,218,3,2, 2.39,0.584497,1.000,1.000
GO:0023014,signal transduction by protein...,7107,396,73,3, 4.08,0.585551,1.000,1.000
GO:0043903,"regulation of symbiosis, encom...",383,200,5,2, 2.62,0.585648,1.000,1.000
GO:1901362,organic cyclic compound biosyn...,3703,2039,30,18,16.51,0.585823,1.000,1.000
GO:0006813,potassium ion transport,473,113,6,2, 1.43,0.588463,1.000,1.000
GO:0043632,modification-dependent macromo...,420,265,4,2, 2.53,0.589930,1.000,1.000
GO:0071222,cellular response to lipopolys...,534,84,9,2, 1.41,0.592361,1.000,1.000
GO:0044257,cellular protein catabolic pro...,2793,331,19,3, 2.25,0.595766,1.000,1.000
GO:0045934,negative regulation of nucleob...,3108,655,24,4, 5.07,0.596322,1.000,1.000
GO:1903047,mitotic cell cycle process,648,336,5,2, 2.60,0.597873,1.000,1.000
GO:0000165,MAPK cascade,1367,379,14,3, 3.89,0.598572,1.000,1.000
GO:0010629,negative regulation of gene ex...,2976,712,21,4, 5.03,0.600353,1.000,1.000
GO:0048513,animal organ development,2815,1725,30,17,18.40,0.602638,1.000,1.000
GO:0044248,cellular catabolic process,5563,668,41,6, 4.92,0.604374,1.000,1.000
GO:0033043,regulation of organelle organi...,2165,571,19,6, 5.00,0.606032,1.000,1.000
GO:0042391,regulation of membrane potential,1747,177,14,2, 1.41,0.607337,1.000,1.000
GO:0044802,single-organism membrane organ...,6646,368,72,3, 4.00,0.610450,1.000,1.000
GO:0016477,cell migration,753,695,8,7, 7.39,0.613239,1.000,1.000
GO:0045893,positive regulation of transcr...,1839,787,12,6, 5.13,0.614026,1.000,1.000
GO:0009100,glycoprotein metabolic process,4740,203,33,2, 1.41,0.614711,1.000,1.000
GO:0090304,nucleic acid metabolic process,5237,2433,40,17,18.60,0.614750,1.000,1.000
GO:0032268,regulation of cellular protein...,4178,1167,28,9, 7.81,0.618864,1.000,1.000
GO:0043434,response to peptide hormone,299,120,6,3, 2.40,0.620725,1.000,1.000
GO:0009165,nucleotide biosynthetic process,312,159,5,2, 2.56,0.623890,1.000,1.000
GO:0051649,establishment of localization ...,2696,887,28,8, 9.22,0.624655,1.000,1.000
GO:0030031,cell projection assembly,1625,235,19,2, 2.76,0.625615,1.000,1.000
GO:0007409,axonogenesis,323,204,4,3, 2.52,0.625755,1.000,1.000
GO:0045444,fat cell differentiation,1905,137,20,2, 1.43,0.626932,1.000,1.000
GO:1903533,regulation of protein targeting,335,176,3,2, 1.57,0.627358,1.000,1.000
GO:0051336,regulation of hydrolase activity,1012,571,11,7, 6.20,0.628873,1.000,1.000
GO:0044281,small molecule metabolic process,2155,890,17,8, 7.01,0.629010,1.000,1.000
GO:0050708,regulation of protein secretion,529,181,7,3, 2.39,0.629472,1.000,1.000
GO:0008219,cell death,6632,886,72,11, 9.60,0.630825,1.000,1.000
GO:1902531,regulation of intracellular si...,1833,843,22,9,10.13,0.631042,1.000,1.000
GO:0048568,embryonic organ development,2964,278,34,4, 3.18,0.632240,1.000,1.000
GO:0030154,cell differentiation,2118,1905,23,20,20.69,0.633253,1.000,1.000
GO:0007411,axon guidance,206,109,3,2, 1.58,0.635311,1.000,1.000
GO:0007034,vacuolar transport,2398,145,24,2, 1.45,0.638367,1.000,1.000
GO:0048545,response to steroid hormone,590,131,12,2, 2.68,0.642796,1.000,1.000
GO:0006952,defense response,1636,604,13,4, 4.81,0.645600,1.000,1.000
GO:0099536,synaptic signaling,552,214,11,5, 4.25,0.646702,1.000,1.000
GO:0051171,regulation of nitrogen compoun...,4326,2065,32,14,15.28,0.650928,1.000,1.000
GO:0006928,movement of cell or subcellula...,6632,981,72,12,10.64,0.652598,1.000,1.000
GO:0009101,glycoprotein biosynthetic process,2658,178,22,2, 1.47,0.653410,1.000,1.000
GO:0007186,G-protein coupled receptor sig...,3145,845,38,9,10.22,0.656366,1.000,1.000
GO:0015672,monovalent inorganic cation tr...,525,256,7,4, 3.41,0.656660,1.000,1.000
GO:0044271,cellular nitrogen compound bio...,3685,2473,30,19,20.14,0.658794,1.000,1.000
GO:0006869,lipid transport,1624,142,17,2, 1.48,0.659048,1.000,1.000
GO:0051052,regulation of DNA metabolic pr...,3073,207,22,2, 1.48,0.659729,1.000,1.000
GO:0006812,cation transport,754,525,11,7, 7.67,0.664246,1.000,1.000
GO:0051246,regulation of protein metaboli...,4537,1263,32,10, 8.90,0.665952,1.000,1.000
GO:0007423,sensory organ development,2964,329,34,3, 3.78,0.671614,1.000,1.000
GO:0080090,regulation of primary metaboli...,5790,2815,44,20,21.40,0.673605,1.000,1.000
GO:0051128,regulation of cellular compone...,6688,1243,63,13,11.70,0.674586,1.000,1.000
GO:0019438,aromatic compound biosynthetic...,3659,2004,29,17,15.87,0.675957,1.000,1.000
GO:0045935,positive regulation of nucleob...,3187,940,24,8, 7.07,0.679325,1.000,1.000
GO:0007417,central nervous system develop...,2274,455,24,4, 4.81,0.681383,1.000,1.000
GO:0051338,regulation of transferase acti...,1012,399,11,5, 4.33,0.681594,1.000,1.000
GO:0007005,mitochondrion organization,1652,335,12,3, 2.43,0.683982,1.000,1.000
GO:0007010,cytoskeleton organization,1652,645,12,4, 4.69,0.684801,1.000,1.000
GO:0008154,actin polymerization or depoly...,205,113,3,2, 1.65,0.688366,1.000,1.000
GO:0002263,cell activation involved in im...,881,113,12,2, 1.53,0.689891,1.000,1.000
GO:0031347,regulation of defense response,900,321,7,2, 2.50,0.695286,1.000,1.000
GO:0051346,negative regulation of hydrola...,703,194,9,3, 2.48,0.699224,1.000,1.000
GO:0033157,regulation of intracellular pr...,779,218,9,2, 2.52,0.699641,1.000,1.000
GO:0048514,blood vessel morphogenesis,2976,292,34,4, 3.33,0.700731,1.000,1.000
GO:0046390,ribose phosphate biosynthetic ...,554,125,7,2, 1.57,0.703105,1.000,1.000
GO:0080135,regulation of cellular respons...,5968,287,54,2, 2.60,0.703713,1.000,1.000
GO:0006793,phosphorus metabolic process,5493,1725,41,14,12.87,0.704270,1.000,1.000
GO:0018130,heterocycle biosynthetic process,3635,2004,29,17,15.98,0.704617,1.000,1.000
GO:0010558,negative regulation of macromo...,2909,674,25,5, 5.80,0.706413,1.000,1.000
GO:0032273,positive regulation of protein...,174,71,4,2, 1.62,0.706582,1.000,1.000
GO:0007399,nervous system development,2274,1051,24,12,11.08,0.708974,1.000,1.000
GO:1901564,organonitrogen compound metabo...,5951,1140,47,8, 9.01,0.709061,1.000,1.000
GO:0032868,response to insulin,120,91,3,2, 2.28,0.709531,1.000,1.000
GO:0055082,cellular chemical homeostasis,534,268,7,4, 3.51,0.711898,1.000,1.000
GO:0022898,regulation of transmembrane tr...,207,85,4,2, 1.64,0.715148,1.000,1.000
GO:0032412,regulation of ion transmembran...,197,81,4,2, 1.64,0.716692,1.000,1.000
GO:0006461,protein complex assembly,792,595,10,8, 7.51,0.720623,1.000,1.000
GO:0014070,response to organic cyclic com...,1163,325,19,6, 5.30,0.722234,1.000,1.000
GO:0051258,protein polymerization,255,133,5,3, 2.60,0.723992,1.000,1.000
GO:0071383,cellular response to steroid h...,469,116,10,2, 2.48,0.726642,1.000,1.000
GO:0010648,negative regulation of cell co...,4380,623,48,6, 6.84,0.731243,1.000,1.000
GO:0006954,inflammatory response,604,251,4,2, 1.66,0.732230,1.000,1.000
GO:0034329,cell junction assembly,1275,107,19,2, 1.59,0.736012,1.000,1.000
GO:0045787,positive regulation of cell cycle,2881,164,28,2, 1.59,0.739863,1.000,1.000
GO:0060537,muscle tissue development,991,221,11,2, 2.46,0.742069,1.000,1.000
GO:0090276,regulation of peptide hormone ...,122,70,3,2, 1.71,0.743412,1.000,1.000
GO:0071900,regulation of protein serine/t...,322,217,4,3, 2.69,0.745348,1.000,1.000
GO:0051347,positive regulation of transfe...,740,258,10,3, 3.49,0.745660,1.000,1.000
GO:1903508,positive regulation of nucleic...,1733,787,12,6, 5.45,0.749094,1.000,1.000
GO:0048729,tissue morphogenesis,2984,385,34,5, 4.38,0.752576,1.000,1.000
GO:0046483,heterocycle metabolic process,5493,2813,41,22,20.99,0.753044,1.000,1.000
GO:0051254,positive regulation of RNA met...,2717,815,18,6, 5.40,0.756804,1.000,1.000
GO:0051173,positive regulation of nitroge...,3902,981,29,8, 7.29,0.760770,1.000,1.000
GO:0050678,regulation of epithelial cell ...,760,157,8,2, 1.65,0.760983,1.000,1.000
GO:0043547,positive regulation of GTPase ...,369,197,5,3, 2.66,0.766040,1.000,1.000
GO:0000904,cell morphogenesis involved in...,1271,360,16,4, 4.54,0.766754,1.000,1.000
GO:1902532,negative regulation of intrace...,1588,255,16,3, 2.56,0.768422,1.000,1.000
GO:0051130,positive regulation of cellula...,4275,660,41,7, 6.32,0.771120,1.000,1.000
GO:0090130,tissue migration,3058,152,33,2, 1.64,0.772470,1.000,1.000
GO:0046903,secretion,1286,469,15,6, 5.46,0.775289,1.000,1.000
GO:0032496,response to lipopolysaccharide,645,120,9,2, 1.67,0.779270,1.000,1.000
GO:0050673,epithelial cell proliferation,932,196,8,2, 1.68,0.782435,1.000,1.000
GO:0022407,regulation of cell-cell adhesion,537,208,6,2, 2.33,0.785271,1.000,1.000
GO:0007507,heart development,2964,303,34,3, 3.48,0.786678,1.000,1.000
GO:0033365,protein localization to organelle,845,440,7,4, 3.64,0.787725,1.000,1.000
GO:0010557,positive regulation of macromo...,3058,904,25,8, 7.39,0.788613,1.000,1.000
GO:0006325,chromatin organization,1051,343,11,4, 3.59,0.791166,1.000,1.000
GO:0071407,cellular response to organic c...,1001,249,18,4, 4.49,0.792935,1.000,1.000
GO:0070997,neuron death,886,136,11,2, 1.68,0.793481,1.000,1.000
GO:0006468,protein phosphorylation,2228,1047,16,7, 7.52,0.794360,1.000,1.000
GO:0034641,cellular nitrogen compound met...,5520,3256,41,25,24.18,0.794888,1.000,1.000
GO:0051046,regulation of secretion,1036,310,12,4, 3.59,0.795447,1.000,1.000
GO:0031325,positive regulation of cellula...,6107,1493,50,13,12.22,0.797614,1.000,1.000
GO:0042592,homeostatic process,1747,814,14,7, 6.52,0.797723,1.000,1.000
GO:0030833,regulation of actin filament p...,119,87,3,2, 2.20,0.799558,1.000,1.000
GO:0060562,epithelial tube morphogenesis,332,217,5,3, 3.27,0.800016,1.000,1.000
GO:1901214,regulation of neuron death,750,116,11,2, 1.70,0.802167,1.000,1.000
GO:0098542,defense response to other orga...,687,263,6,2, 2.30,0.802577,1.000,1.000
GO:0044772,mitotic cell cycle phase trans...,406,178,4,2, 1.75,0.803518,1.000,1.000
GO:0022604,regulation of cell morphogenesis,1720,238,17,2, 2.36,0.803862,1.000,1.000
GO:1901575,organic substance catabolic pr...,5944,812,47,7, 6.42,0.804937,1.000,1.000
GO:0007160,cell-matrix adhesion,201,120,3,2, 1.79,0.804990,1.000,1.000
GO:0006725,cellular aromatic compound met...,5493,2842,41,22,21.21,0.804996,1.000,1.000
GO:0061024,membrane organization,3078,429,32,4, 4.46,0.813521,1.000,1.000
GO:0048598,embryonic morphogenesis,2976,397,34,5, 4.53,0.813855,1.000,1.000
GO:0071805,potassium ion transmembrane tr...,326,95,6,2, 1.74,0.819856,1.000,1.000
GO:0051247,positive regulation of protein...,3675,725,28,6, 5.52,0.820498,1.000,1.000
GO:0007178,transmembrane receptor protein...,457,181,11,4, 4.37,0.823996,1.000,1.000
GO:0006821,chloride transport,81,49,3,2, 1.81,0.824136,1.000,1.000
GO:0045786,negative regulation of cell cycle,2585,212,21,2, 1.72,0.824662,1.000,1.000
GO:0009890,negative regulation of biosynt...,3471,705,32,6, 6.50,0.825530,1.000,1.000
GO:0030334,regulation of cell migration,712,378,7,4, 3.71,0.829219,1.000,1.000
GO:0010631,epithelial cell migration,201,145,3,2, 2.17,0.831760,1.000,1.000
GO:0030041,actin filament polymerization,153,93,3,2, 1.82,0.833513,1.000,1.000
GO:1901135,carbohydrate derivative metabo...,5940,579,47,5, 4.58,0.836283,1.000,1.000
GO:0048534,hematopoietic or lymphoid orga...,2964,474,34,5, 5.44,0.837004,1.000,1.000
GO:0008544,epidermis development,991,158,11,2, 1.75,0.838550,1.000,1.000
GO:0021700,developmental maturation,2964,152,34,2, 1.74,0.841215,1.000,1.000
GO:0022412,cellular process involved in r...,6687,162,72,2, 1.74,0.843897,1.000,1.000
GO:0006259,DNA metabolic process,4491,482,31,3, 3.33,0.849015,1.000,1.000
GO:0016570,histone modification,2048,241,15,2, 1.76,0.850306,1.000,1.000
GO:0051272,positive regulation of cellula...,2983,224,36,3, 2.70,0.850354,1.000,1.000
GO:0070271,protein complex biogenesis,1328,595,17,8, 7.61,0.850817,1.000,1.000
GO:0019725,cellular homeostasis,6717,336,73,4, 3.65,0.850878,1.000,1.000
GO:0014902,myotube differentiation,141,64,4,2, 1.81,0.851182,1.000,1.000
GO:0061061,muscle structure development,2986,322,34,4, 3.66,0.852905,1.000,1.000
GO:0019538,protein metabolic process,5785,3104,44,23,23.61,0.853476,1.000,1.000
GO:0006139,nucleobase-containing compound...,5727,2750,45,21,21.61,0.855457,1.000,1.000
GO:0010647,positive regulation of cell co...,4436,795,53,9, 9.50,0.857505,1.000,1.000
GO:0001654,eye development,329,203,3,2, 1.85,0.859227,1.000,1.000
GO:0048869,cellular developmental process,6928,2118,73,23,22.31,0.861588,1.000,1.000
GO:0051962,positive regulation of nervous...,1600,224,16,2, 2.24,0.862129,1.000,1.000
GO:0072503,cellular divalent inorganic ca...,229,163,3,2, 2.14,0.862352,1.000,1.000
GO:0009259,ribonucleotide metabolic process,311,244,4,3, 3.14,0.865811,1.000,1.000
GO:0030900,forebrain development,2986,197,34,2, 2.25,0.865928,1.000,1.000
GO:0009888,tissue development,2815,991,30,11,10.56,0.866125,1.000,1.000
GO:0051098,regulation of binding,1311,181,13,2, 1.79,0.868408,1.000,1.000
GO:0009141,nucleoside triphosphate metabo...,314,137,5,2, 2.18,0.869040,1.000,1.000
GO:0050865,regulation of cell activation,5798,245,53,2, 2.24,0.869549,1.000,1.000
GO:0045860,positive regulation of protein...,557,203,6,2, 2.19,0.873575,1.000,1.000
GO:0045944,positive regulation of transcr...,1139,597,10,5, 5.24,0.878008,1.000,1.000
GO:0051270,regulation of cellular compone...,6064,434,60,4, 4.30,0.882312,1.000,1.000
GO:0009615,response to virus,521,192,5,2, 1.84,0.883522,1.000,1.000
GO:0001655,urogenital system development,2274,209,24,2, 2.21,0.883829,1.000,1.000
GO:0060627,regulation of vesicle-mediated...,6070,197,56,2, 1.82,0.890055,1.000,1.000
GO:0008344,adult locomotory behavior,172,64,5,2, 1.86,0.895820,1.000,1.000
GO:0007017,microtubule-based process,6632,392,72,4, 4.26,0.897772,1.000,1.000
GO:0043412,macromolecule modification,4981,2126,36,15,15.37,0.901610,1.000,1.000
GO:0051656,establishment of organelle loc...,2530,179,26,2, 1.84,0.901843,1.000,1.000
GO:0006820,anion transport,754,194,11,3, 2.83,0.906129,1.000,1.000
GO:0001701,in utero embryonic development,390,224,5,3, 2.87,0.907132,1.000,1.000
GO:0044057,regulation of system process,2194,214,19,2, 1.85,0.909277,1.000,1.000
GO:0016337,single organismal cell-cell ad...,508,396,5,4, 3.90,0.911695,1.000,1.000
GO:0048731,system development,2815,2274,30,24,24.24,0.913034,1.000,1.000
GO:0007281,germ cell development,1306,143,17,2, 1.86,0.913738,1.000,1.000
GO:0071495,cellular response to endogenou...,653,566,14,12,12.14,0.914700,1.000,1.000
GO:0019219,regulation of nucleobase-conta...,3667,1939,27,14,14.28,0.914708,1.000,1.000
GO:0016311,dephosphorylation,1721,263,14,2, 2.14,0.917155,1.000,1.000
